datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,rolling_cost_estimate_b,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,nat_repair_cost,verification_cost,natural_redund_tags,natural_n_tags,OGI_prop_sites_avail,OGI_cost,OGI_sites_visited,OGI_travel_time,OGI_survey_time,OGI_redund_tags,OGI_missed_leaks,OGI_sites_vis_w_leaks,OGI_eff_flags,OGI_n_tags,OGI_flags_redund1,OGI_flags_redund2,OGI_flag_wo_vent
2023-03-20,18111,54.0,54.0,5535.833333333334,0.0,4129.0,66746.47675852047,11200.0,800.0,6800.0,0.0,0.0,34.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,56.0,0.0,0.0,0.0
2023-03-21,18127,58.0,58.0,5600.655737704918,0.0,4176.0,66567.67622725267,13000.0,800.0,8600.0,0.0,0.0,43.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-03-22,18138,49.0,49.0,5674.453551912568,0.0,4232.0,66380.8753991434,14800.0,600.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-03-23,18131,42.0,42.0,5739.275956284154,0.0,4279.0,66647.32602183317,13000.0,200.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,71.0,0.0,0.0,0.0
2023-03-24,18126,43.0,43.0,5799.112021857923,0.0,4321.0,66626.10176410191,12000.0,0.0,8400.0,0.0,0.0,42.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,82.0,0.0,0.0,0.0
2023-03-25,18127,44.0,44.0,5844.986338797815,0.0,4361.0,66302.20422279976,9200.0,1200.0,6800.0,0.0,0.0,34.0,1.0,1200.0,2.0,90.0,240.0,0.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0
2023-03-26,18131,59.0,59.0,5887.868852459016,0.0,4404.0,66235.91886798164,8600.0,600.0,8000.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-27,18147,55.0,55.0,5939.726775956285,0.0,4456.0,65617.45914780936,10400.0,1600.0,8800.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-28,18150,57.0,57.0,6002.554644808743,0.0,4519.0,65210.42540472467,12600.0,1600.0,11000.0,0.0,0.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-29,18144,44.0,44.0,6060.396174863388,0.0,4577.0,64888.58962873902,11600.0,2000.0,9600.0,0.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-30,18130,43.0,43.0,6126.215846994535,0.0,4643.0,64638.04537707063,13200.0,1800.0,11400.0,0.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,18107,51.0,51.0,6182.062841530054,0.0,4699.0,64264.07748044125,11200.0,2200.0,9000.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,18102,61.0,61.0,6255.860655737705,0.0,4773.0,63364.07276330614,14800.0,3400.0,11400.0,0.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-02,18089,54.0,54.0,6321.680327868853,0.0,4839.0,62710.68466943549,13200.0,4000.0,9200.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03,18077,48.0,48.0,6383.5109289617485,0.0,4901.0,61894.37895431119,12400.0,4800.0,7600.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04,18063,46.0,46.0,6454.31693989071,0.0,4972.0,60978.35997373458,14200.0,5600.0,8600.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-05,18038,46.0,46.0,6533.101092896175,0.0,5051.0,60087.58330302047,15800.0,5800.0,10000.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-06,18005,60.0,60.0,6598.920765027322,0.0,5117.0,59420.70373350448,13200.0,5400.0,7800.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-07,17999,42.0,42.0,6690.669398907104,0.0,5209.0,58386.47063418282,18400.0,6400.0,12000.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-08,17949,53.0,53.0,6789.398907103825,0.0,5308.0,57386.50256024954,19800.0,7600.0,12200.0,0.0,0.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-09,17903,58.0,58.0,6892.117486338798,0.0,5411.0,56427.288459398515,20600.0,8400.0,12200.0,0.0,0.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-10,17858,44.0,44.0,6991.844262295082,0.0,5511.0,55394.728677104635,20000.0,9400.0,10600.0,0.0,0.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-11,17802,53.0,53.0,7084.5901639344265,0.0,5604.0,54292.35175633466,18600.0,9800.0,8800.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-12,17762,57.0,57.0,7170.355191256831,0.0,5690.0,53441.81366622311,17200.0,10000.0,7200.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,17733,49.0,49.0,7270.081967213116,0.0,5790.0,52527.32964273067,20000.0,10000.0,10000.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-14,17682,51.0,51.0,7363.825136612021,0.0,5884.0,51854.61570054134,18800.0,10000.0,8800.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-15,17639,55.0,55.0,7471.530054644809,0.0,5992.0,51168.8211044857,21600.0,10000.0,11600.0,0.0,0.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
